mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
5.021,0.684,5.05,0.607,1.082,0.324,7.063,10.57,0.0
5.405,0.68,4.767,0.56,1.061,0.335,6.723,9.263,0.0
4.874,0.6829999999999999,4.872,0.541,1.046,0.326,6.785,9.132,0.0
4.923,0.6890000000000001,4.9,0.585,1.048,0.311,6.8439999999999985,8.532,0.0
4.69,0.6920000000000001,4.6530000000000005,0.57,1.057,0.289,6.569,8.191,0.0
4.448,0.7020000000000001,4.529,0.5660000000000001,1.009,0.264,6.3679999999999986,8.437000000000001,0.0
4.605,0.696,4.442,0.5760000000000001,0.997,0.264,6.28,8.307,0.0
4.791,0.69,4.317,0.564,0.989,0.273,6.143,8.189,0.0
4.4110000000000005,0.6970000000000001,4.299,0.56,0.968,0.272,6.099,8.193,0.0
4.636,0.6920000000000001,4.386,0.563,0.968,0.258,6.175,8.34,0.0
5.02,0.682,4.142,0.564,1.005,0.29,6.0,8.104,0.0
4.654,0.67,3.981,0.547,1.012,0.293,5.832000000000002,8.131,0.0
4.801,0.67,4.038,0.57,0.997,0.28300000000000003,5.8889999999999985,8.203,0.0
5.154,0.67,3.801,0.5660000000000001,1.0,0.284,5.652,8.02,0.0
4.76,0.672,3.981,0.534,0.987,0.29,5.791,8.138,0.0
4.83,0.67,3.81,0.5539999999999999,0.977,0.29,5.6320000000000014,8.097000000000001,0.0
5.164,0.685,3.809,0.557,0.966,0.279,5.612,8.137,0.0
5.032,0.6659999999999999,3.928,0.524,0.999,0.29600000000000004,5.747000000000001,8.068999999999999,0.0
5.118,0.6709999999999999,3.798,0.552,0.979,0.289,5.619,8.064,0.0
5.186,0.669,3.791,0.556,0.988,0.285,5.62,8.068,0.0
5.519,0.664,3.657,0.513,0.981,0.295,5.4460000000000015,8.007,0.0
5.2029999999999985,0.669,3.504,0.5479999999999999,0.964,0.273,5.289,8.133,0.0
5.7879999999999985,0.65,3.463,0.5479999999999999,1.0,0.305,5.317,8.113999999999999,0.0
5.58,0.664,3.58,0.509,0.977,0.298,5.364,7.94,0.0
5.2639999999999985,0.6679999999999999,3.467,0.535,0.963,0.294,5.259,8.062000000000001,0.0
5.731,0.6579999999999999,3.337,0.5429999999999999,0.983,0.29600000000000004,5.16,8.149,0.0
5.6110000000000015,0.65,3.4530000000000003,0.517,0.983,0.302,5.255,8.133,0.0
5.3660000000000005,0.665,3.4360000000000004,0.51,0.963,0.28800000000000003,5.197,8.038,0.0
5.702000000000001,0.66,3.525,0.531,0.958,0.29,5.3039999999999985,8.095,0.0
5.625,0.664,3.528,0.512,0.957,0.29,5.287000000000001,7.925,0.0
5.38,0.6679999999999999,3.4930000000000003,0.505,0.939,0.28600000000000003,5.223,8.033,0.0
5.43,0.667,3.55,0.531,0.934,0.28300000000000003,5.2970000000000015,8.105,0.0
5.688,0.6679999999999999,3.402,0.515,0.941,0.28800000000000003,5.146,7.952000000000001,0.0
5.46,0.664,3.455,0.505,0.937,0.29600000000000004,5.193,8.062000000000001,0.0
5.479,0.674,3.45,0.527,0.917,0.28,5.172999999999999,8.055,0.0
5.8660000000000005,0.657,3.471,0.516,0.936,0.298,5.222,7.972,0.0
5.4670000000000005,0.6659999999999999,3.408,0.487,0.925,0.293,5.112,7.944,0.0
5.444,0.6779999999999999,3.367,0.521,0.911,0.28,5.079,8.126,0.0
5.852,0.672,3.239,0.507,0.92,0.29100000000000004,4.957,8.054,0.0
5.518,0.672,3.384,0.493,0.912,0.284,5.073,8.042,0.0
5.5,0.674,3.362,0.522,0.9159999999999999,0.28300000000000003,5.083,10.332,0.0
5.86,0.6559999999999999,3.221,0.51,0.948,0.293,4.9719999999999995,8.932,0.0
5.577000000000001,0.67,3.283,0.499,0.9229999999999999,0.284,4.99,8.81,0.0
5.399,0.6679999999999999,3.305,0.503,0.907,0.285,5.0,8.414,0.0
5.896,0.6629999999999999,3.347,0.51,0.919,0.29,5.066,8.087,0.0
5.575,0.674,3.407,0.484,0.898,0.268,5.0569999999999995,8.113,0.0
5.48,0.6779999999999999,3.3480000000000003,0.507,0.8959999999999999,0.278,5.029,8.22,0.0
5.77,0.6679999999999999,3.252,0.511,0.905,0.275,4.944,8.084,0.0
5.768,0.682,3.315,0.48100000000000004,0.905,0.281,4.981,8.124,0.0
5.607,0.667,3.245,0.496,0.9259999999999999,0.278,4.945,8.074,0.0
5.782,0.675,3.2680000000000002,0.506,0.895,0.271,4.939,8.366,0.0
5.824,0.674,3.262,0.469,0.894,0.278,4.9030000000000005,8.306000000000001,0.0
5.746,0.677,3.313,0.496,0.89,0.27399999999999997,4.973,8.329,0.0
5.876,0.6759999999999999,3.1519999999999997,0.502,0.885,0.281,4.82,8.294,0.0
5.955,0.68,3.355,0.467,0.895,0.276,4.993,8.437000000000001,0.0
5.641,0.68,3.267,0.47700000000000004,0.873,0.26899999999999996,4.886,8.165,0.0
5.824,0.67,3.248,0.504,0.893,0.27699999999999997,4.921,8.443,0.0
5.69,0.674,3.352,0.474,0.87,0.27899999999999997,4.975,8.152999999999999,0.0
5.9479999999999995,0.6759999999999999,3.222,0.46299999999999997,0.892,0.28300000000000003,4.859,8.314,0.0
6.112,0.6659999999999999,3.085,0.489,0.9,0.27399999999999997,4.748,8.242,0.0
6.348,0.6679999999999999,3.202,0.461,0.887,0.281,4.832,8.115,0.0
6.232,0.664,3.09,0.456,0.8909999999999999,0.289,4.726,8.508,0.0
6.376,0.6709999999999999,3.1519999999999997,0.479,0.882,0.268,4.782,8.724,0.0
6.5489999999999995,0.6679999999999999,3.005,0.47700000000000004,0.899,0.273,4.654,8.471,0.0
6.3660000000000005,0.674,3.0389999999999997,0.466,0.89,0.272,4.667,8.618,0.0
6.321000000000001,0.682,3.033,0.479,0.873,0.26,4.644,8.617,0.0
6.877000000000001,0.675,2.9819999999999998,0.48200000000000004,0.8809999999999999,0.268,4.614,8.597000000000001,0.0
6.5120000000000005,0.6629999999999999,3.043,0.45399999999999996,0.9129999999999999,0.285,4.695,8.578,0.0
6.495,0.6659999999999999,3.07,0.47700000000000004,0.88,0.278,4.705,8.619,0.0
6.95,0.682,2.929,0.473,0.8759999999999999,0.276,4.553,8.54,0.0
6.653,0.6729999999999999,2.957,0.446,0.887,0.271,4.561,8.748,0.0
6.454,0.672,2.9019999999999997,0.467,0.878,0.281,4.5280000000000005,8.502,0.0
6.932,0.672,2.93,0.462,0.878,0.273,4.543,8.56,0.0
6.986000000000001,0.672,2.9410000000000003,0.434,0.873,0.27699999999999997,4.524,8.441,0.0
6.359,0.68,2.9989999999999997,0.474,0.855,0.26,4.587,8.352,0.0
6.63,0.67,2.909,0.46399999999999997,0.873,0.261,4.507,8.145,0.0
6.938,0.672,2.89,0.43,0.882,0.282,4.484,8.087,0.0
6.54,0.672,2.8739999999999997,0.465,0.856,0.285,4.478,8.371,0.0
6.749,0.684,2.781,0.47100000000000003,0.856,0.261,4.37,8.311,0.0
6.928999999999999,0.68,2.923,0.446,0.863,0.27,4.502,8.14,0.0
6.569,0.6809999999999999,2.8760000000000003,0.433,0.861,0.27399999999999997,4.444,8.18,0.0
6.751,0.682,2.855,0.466,0.8390000000000001,0.259,4.42,8.276,0.0
6.667999999999999,0.67,2.928,0.44799999999999995,0.861,0.268,4.505,8.443999999999999,0.0
6.502999999999999,0.687,2.892,0.441,0.845,0.267,4.444,8.417,0.0
6.756,0.685,2.9,0.46,0.833,0.26899999999999996,4.463,8.217,0.0
7.056,0.6859999999999999,2.9589999999999996,0.43700000000000006,0.843,0.271,4.5089999999999995,8.115,0.0
6.629,0.6829999999999999,2.861,0.44299999999999995,0.8490000000000001,0.275,4.428999999999999,8.101,0.0
6.809,0.674,2.91,0.44799999999999995,0.838,0.27399999999999997,4.468999999999999,8.218,0.0
6.931,0.675,2.918,0.447,0.852,0.263,4.481,8.048,0.0
6.752000000000001,0.6809999999999999,2.891,0.433,0.8390000000000001,0.272,4.436,8.01,0.0
6.983,0.6809999999999999,2.884,0.447,0.8370000000000001,0.264,4.433,8.086,0.0
6.9910000000000005,0.688,2.73,0.45799999999999996,0.8340000000000001,0.26,4.282,8.017999999999999,0.0
6.938,0.688,2.7089999999999996,0.425,0.83,0.27,4.2330000000000005,8.119,0.0
6.725,0.698,2.9939999999999998,0.44,0.8220000000000001,0.258,4.513,8.202,0.0
7.002000000000001,0.687,2.782,0.449,0.825,0.261,4.317,8.008,0.0
7.0489999999999995,0.6809999999999999,2.907,0.431,0.8390000000000001,0.26899999999999996,4.446000000000001,8.0,0.0
6.781000000000001,0.684,2.832,0.441,0.8420000000000001,0.272,4.388,8.078,0.0
7.001,0.6920000000000001,2.701,0.45299999999999996,0.818,0.261,4.234,8.059,0.0
7.0120000000000005,0.68,2.7489999999999997,0.419,0.8240000000000001,0.271,4.263999999999999,8.002,0.0
6.734,0.7020000000000001,2.8739999999999997,0.447,0.7859999999999999,0.262,4.369,8.062000000000001,0.0
6.9670000000000005,0.7,2.7289999999999996,0.441,0.787,0.252,4.209,8.078,0.0
7.2860000000000005,0.691,2.864,0.428,0.818,0.26899999999999996,4.379,8.083,0.0
6.735,0.6859999999999999,2.8110000000000004,0.433,0.799,0.265,4.308,8.062999999999999,0.0
7.072,0.6829999999999999,2.784,0.444,0.809,0.255,4.291,8.142000000000001,0.0
7.7139999999999995,0.6859999999999999,2.68,0.424,0.826,0.265,4.194,7.978,0.0
7.425,0.684,2.492,0.41600000000000004,0.823,0.275,4.007,8.144,0.0
7.431,0.685,2.419,0.447,0.816,0.27699999999999997,3.9589999999999996,8.177999999999999,0.0
7.687,0.677,2.635,0.431,0.818,0.26899999999999996,4.152,8.029,0.0
7.59,0.6890000000000001,2.488,0.418,0.805,0.261,3.971,8.056000000000001,0.0
7.602,0.688,2.6319999999999997,0.43,0.8109999999999999,0.267,4.14,8.078,0.0
8.033,0.688,2.476,0.423,0.82,0.266,3.985,7.981,0.0
7.75,0.685,2.458,0.418,0.818,0.268,3.9619999999999997,8.041,0.0
7.6979999999999995,0.6940000000000001,2.546,0.436,0.797,0.27,4.0489999999999995,8.095,0.0
7.922000000000001,0.6920000000000001,2.443,0.431,0.7959999999999999,0.271,3.9410000000000003,7.986000000000001,0.0
7.57,0.69,2.485,0.419,0.7829999999999999,0.259,3.947,8.086,0.0
7.681,0.705,2.516,0.418,0.765,0.266,3.966,8.093,0.0
7.962999999999999,0.68,2.306,0.434,0.8029999999999999,0.265,3.8080000000000003,8.029,0.0
7.754,0.705,2.427,0.409,0.775,0.26,3.87,8.051,0.0
7.502999999999999,0.691,2.456,0.42100000000000004,0.789,0.268,3.9339999999999997,8.122,0.0
7.915,0.701,2.37,0.43,0.773,0.259,3.832,8.078,0.0
7.938,0.691,2.51,0.402,0.8029999999999999,0.257,3.971,8.06,0.0
7.612,0.69,2.425,0.423,0.7929999999999999,0.272,3.9130000000000003,8.181000000000001,0.0
7.938,0.701,2.387,0.436,0.774,0.26,3.8569999999999998,8.214,0.0
8.241,0.698,2.39,0.396,0.778,0.261,3.826,8.307,0.0
7.473,0.708,2.3569999999999998,0.425,0.759,0.255,3.7960000000000003,8.326,0.0
7.949,0.6970000000000001,2.388,0.414,0.7829999999999999,0.261,3.847,8.347999999999999,0.0
8.23,0.684,2.345,0.39,0.785,0.264,3.784,8.11,0.0
7.771,0.708,2.377,0.414,0.752,0.266,3.8089999999999997,8.332,0.0
7.813,0.7090000000000001,2.426,0.414,0.759,0.262,3.862,8.253,0.0
8.099,0.6890000000000001,2.336,0.39299999999999996,0.797,0.257,3.783,7.994,0.0
7.682,0.698,2.313,0.414,0.765,0.262,3.7539999999999996,8.078,0.0
7.808,0.696,2.351,0.42200000000000004,0.772,0.264,3.81,8.094,0.0
8.173,0.7,2.3040000000000003,0.40399999999999997,0.7509999999999999,0.26,3.719,7.865,0.0
7.8,0.706,2.385,0.39299999999999996,0.768,0.262,3.807,8.048,0.0
7.865,0.691,2.344,0.42100000000000004,0.8079999999999999,0.268,3.841,8.043,0.0
8.086,0.6920000000000001,2.427,0.401,0.772,0.261,3.861,7.862,0.0
7.527,0.7020000000000001,2.3609999999999998,0.39299999999999996,0.767,0.266,3.787,7.973,0.0
7.902,0.706,2.353,0.415,0.755,0.257,3.781,8.064,0.0
7.9670000000000005,0.71,2.331,0.402,0.747,0.251,3.7310000000000003,7.881,0.0
7.99,0.7,2.2680000000000002,0.39799999999999996,0.763,0.257,3.6860000000000004,7.9239999999999995,0.0
7.6979999999999995,0.703,2.38,0.41100000000000003,0.75,0.252,3.793,8.127,0.0
7.989,0.718,2.401,0.418,0.7440000000000001,0.26,3.823,7.907,0.0
7.855,0.711,2.194,0.392,0.742,0.256,3.5839999999999996,7.909,0.0
7.6739999999999995,0.7090000000000001,2.449,0.39899999999999997,0.752,0.254,3.8539999999999996,8.062000000000001,0.0
8.09,0.6940000000000001,2.278,0.41100000000000003,0.7559999999999999,0.264,3.7089999999999996,7.962999999999999,0.0
8.18,0.7190000000000001,2.313,0.392,0.736,0.256,3.696,7.896,0.0
7.803,0.7040000000000001,2.3569999999999998,0.397,0.748,0.256,3.759,8.035,0.0
7.942,0.7070000000000001,2.224,0.397,0.732,0.251,3.6039999999999996,7.943,0.0
8.205,0.713,2.246,0.38299999999999995,0.735,0.249,3.613,7.919,0.0
7.817,0.713,2.343,0.41100000000000003,0.738,0.255,3.747,8.007,0.0
8.047,0.711,2.285,0.41,0.716,0.251,3.662,7.973,0.0
8.269,0.6990000000000001,2.259,0.37,0.7509999999999999,0.256,3.635,8.012,0.0
7.768,0.718,2.276,0.40700000000000003,0.7190000000000001,0.249,3.65,7.979,0.0
7.949,0.7120000000000001,2.231,0.41600000000000004,0.726,0.251,3.623,7.9670000000000005,0.0
